idembarcaciones,nombre,tipo,marca,modelo,eslora,manga,puntal,motores,serie_motores,num_matricula,fecha_ingreso,contrato,contrato_fecha,contrato_path,reglamento,reglamento_path,matricula,matricula_path,seguro,seguro_fecha,seguro_path,baja,baja_fecha
133,DOLCE VITA,M2,GENESIS,38,11.46,,,VOLVO PENTA,A193170 / A193171,REY 062222,2018-07-01,1,2018-07-13,,,,1,,0,,,0,
134,VIKINGO,M2,MEDITERRANEAN,440,13.4,3.12,1.97,REY  073576,A386212 / A386211,REY 022360,2018-01-01,1,2018-01-15,,,,0,,0,2019-01-10,,1,2020-02-28
135,BUENOS AIRES,M3,KLASE A,64,19.06,5.08,3.13,IVECO,116865 / 126516,REY 062924,2014-06-01,1,2014-06-16,,,,1,,0,,,0,
136,OCTUBRE,MO,,,3,,,IVECO,116865 / 126516,REY 062924,,0,,,,,1,,0,,,0,
137,POLO,M3,SEGUE,72,22.5,5.25,3.15,CATERPILAR,JKX01964 / JKX01969,REY 082350,2017-12-01,1,2017-12-14,,,,0,,0,2018-11-15,,1,2021-05-31
138,SAVANNAH LA MAR,M3,,,24.7,4.97,3.47,HENSCHEL,12V1516 N°196025 / 12V1516 N°196027,REY 017775,2006-04-01,1,2006-04-01,,,,1,,0,,,0,
139,ANTO,MO,,,3.5,1.85,0.6,YAMAHA 83HP,J7006 3063N 029843V,SISI 01905,2007-01-01,1,2007-01-01,,,,0,,0,,,0,
140,IL CAPO,M1,MAXUM,32,9.8,3.35,1.4,MERCRUISER 540HP X 2,,REY026303,2018-10-01,1,2018-10-06,,,,1,,0,,,0,
141,ESTILO XXVII,MO,SEA DOO,SPARK,3.1,1.2,0.4,ROTAX 90HP,M9888189,REY SFER02471,2019-06-01,1,2019-06-08,,,,1,,0,,,0,
142,ARIANOS XXVII,M2,GENESIS,350,10.68,,,,,,2019-05-01,1,2019-05-06,,,,0,,0,,,0,
143,GIULIA II,MO,SEA DOO,,3.53,1.22,0.33,ROTAX 230,M7295069,SFER02941,2019-07-01,1,2019-07-12,,,,1,,0,2020-07-05,,0,
144,ESPERANZA,G,CENTURY,240,7.5,2.67,1,MECRUISER 250HP,0F295788,REY 032133,2019-05-01,1,2019-05-13,,,,0,,0,2019-09-20,,0,
145,CHUCARO,M3,SEGUE,72,20.15,5.25,2.9,YANMAR,EB1050084 / BB1050164,REY 046642,2018-08-01,1,2018-08-13,,,,1,,0,2019-06-06,,1,2021-05-01
146,THE CLOVER,G,QUICK SILVER,2400,7.32,2.59,1.58,VOLVO PENTA 270HP,A380140,REY 073040,2019-04-01,1,2019-04-08,,,,1,,0,2019-06-18,,0,
147,MARINA 2,G,BERMUDA,CARIBEAN,5,1.94,0.89,,,REY 020153,2019-03-01,1,2019-03-06,,,,0,,0,2020-02-05,,1,2020-12-01
148,MACARENA,G,ARCO IRIS,CREPUSCULO 21,6.27,2.26,1.3,MERCURY,2B613658,REY 87190,2019-04-01,1,2019-04-12,,,,1,,0,,,0,
149,MDQ 65,G,CANESTRARI,245,7.65,2.6,1.55,MERCRUISER 250HP,2A578424,,2018-12-01,1,2018-11-21,,,,0,,0,2019-12-07,,0,
150,WUNYELFE,G,,,5.98,2.45,1.17,FB 200HP,,REY 045653,2018-12-01,1,2018-12-15,,,,1,,0,,,0,
151,ARY,M2,SEGUE,41,14.5,4.25,2.3,VOLVO PENTA,2006018238 / 2006018239,REY 031443,,0,,,,,0,,0,,,0,
152,MELCOHUE II,M2,SANTANA,35,10.64,3.66,1.64,VOLVO PENTA,2041065543 / 2041065529,REY 037078,2018-08-01,1,2018-08-17,,,,1,,0,,,0,
153,VERSION BETA,M2,ANDAMAR,1010,10.1,3.46,1.42,PERKINS,PA6601441 / PA6601442,REY 013852,2016-01-01,1,2016-01-07,,,,1,,0,2017-01-05,,0,
154,SISI EL,M2,SEGUE,46,14,,,,,REY059058,,0,,,,,0,,0,,,1,2020-02-28
155,KOI RIU,M1,,,8.8,2.98,2.1,MERCRUISER 220HP X 2,2A449598 / 2A449587,086589REY,2019-01-01,1,2019-01-18,,,,1,,0,,,0,
156,ARGOS,M2,RIVIERA,48,14.6,,,,,,2019-01-01,1,2019-01-01,,,,0,,0,2020-03-16,,1,2019-11-30
157,SEGUE 46,M2,SEGUE,46,14,,,,,E/T,,0,,,,,0,,0,,,1,2020-06-30
